Key,File,Line,Severity,Type,Rule,Message,Status
AZ_Qr44_s5KeDF11f9KF,frontend/src/app/(support)/support/page.tsx,106,MAJOR,CODE_SMELL,typescript:S3358,Extract this nested ternary operation into an independent statement.,OPEN
AZ_Qr442s5KeDF11f9J6,frontend/src/app/(support)/support/team/page.tsx,99,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr442s5KeDF11f9J7,frontend/src/app/(support)/support/team/page.tsx,110,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr442s5KeDF11f9J8,frontend/src/app/(support)/support/team/page.tsx,136,MINOR,CODE_SMELL,typescript:S7773,Prefer `Number.parseInt` over `parseInt`.,OPEN
AZ_Qr43Us5KeDF11f9Ig,frontend/src/app/(warehouse)/layout.tsx,8,MINOR,CODE_SMELL,typescript:S6759,Mark the props of the component as read-only.,OPEN
AZ_Qr42_s5KeDF11f9IS,frontend/src/app/(warehouse)/warehouse/inventory/page.tsx,84,MINOR,CODE_SMELL,typescript:S6582,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",OPEN
AZ_Qr42qs5KeDF11f9H4,frontend/src/app/(warehouse)/warehouse/settings/page.tsx,55,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr42qs5KeDF11f9H5,frontend/src/app/(warehouse)/warehouse/settings/page.tsx,62,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr42qs5KeDF11f9H6,frontend/src/app/(warehouse)/warehouse/settings/page.tsx,69,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr42qs5KeDF11f9H7,frontend/src/app/(warehouse)/warehouse/settings/page.tsx,88,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr42qs5KeDF11f9H8,frontend/src/app/(warehouse)/warehouse/settings/page.tsx,107,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr42qs5KeDF11f9H9,frontend/src/app/(warehouse)/warehouse/settings/page.tsx,117,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr42qs5KeDF11f9H-,frontend/src/app/(warehouse)/warehouse/settings/page.tsx,124,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr42qs5KeDF11f9H_,frontend/src/app/(warehouse)/warehouse/settings/page.tsx,138,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr42qs5KeDF11f9IA,frontend/src/app/(warehouse)/warehouse/settings/page.tsx,143,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr421s5KeDF11f9IF,frontend/src/app/(warehouse)/warehouse/team/page.tsx,114,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
